ano,name_model,Erro_days,R2,MAE,RMSE,TP,FP,FN,TN,Recall,Precision,F1,MedAE
2006,XGB_regressor_safra_temp,9.617692610616668,-0.1518418788909912,9.617692610616668,12.706710189827277,4154,5017,8273,0,0.33427214935221694,0.4529495147748337,0.38466524678210945,7.055084228515625
2007,XGB_regressor_safra_temp,12.497451695333584,0.34502339363098145,12.497451695333584,15.647412456869235,5398,19448,7114,0,0.43142583120204603,0.21725831119697336,0.2889876331709406,10.882469177246094
2008,XGB_regressor_safra_temp,13.832493912010722,0.040614426136016846,13.832493912010722,18.245149336380248,8631,34699,6457,0,0.5720440084835631,0.19919224555735057,0.2954911157519942,10.835525512695312
2009,XGB_regressor_safra_temp,10.265203085985952,0.5742152333259583,10.265203085985952,14.13998800279998,1715,2457,2832,0,0.37717176160105564,0.4110738255033557,0.39339373781396947,6.959831237792969
2010,XGB_regressor_safra_temp,12.402241862225623,0.199870765209198,12.402241862225623,16.976872826826966,2031,4249,2718,0,0.42766898294377764,0.3234076433121019,0.3683017499319975,8.102157592773438
2011,XGB_regressor_safra_temp,17.51375408879033,0.5241539478302002,17.51375408879033,23.577391510907958,103,90,347,0,0.2288888888888889,0.533678756476684,0.3203732503888025,15.043022155761719
2012,XGB_regressor_safra_temp,10.51599320063374,0.3352511525154114,10.51599320063374,14.238810297546944,789,1881,758,0,0.5100193923723335,0.2955056179775281,0.374199668010434,7.4199676513671875
2013,XGB_regressor_safra_temp,9.816546808058217,0.7060205936431885,9.816546808058217,13.587404169568423,519,1208,598,0,0.4646374216651746,0.3005211349160394,0.3649789029535865,6.3318328857421875
2014,XGB_regressor_safra_temp,9.806724806643045,0.37903058528900146,9.806724806643045,12.874812626513028,658,687,1077,0,0.3792507204610951,0.48921933085501856,0.42727272727272725,7.612361907958984
2015,XGB_regressor_safra_temp,13.076950252100836,-0.9918843507766724,13.076950252100836,17.261810872933314,539,611,1516,0,0.262287104622871,0.46869565217391307,0.3363494539781591,10.4993896484375
2016,XGB_regressor_safra_temp,9.47452584067799,0.49335378408432007,9.47452584067799,12.597954955235295,638,1070,920,0,0.40949935815147626,0.373536299765808,0.3906919779546847,6.9450531005859375
2017,XGB_regressor_safra_temp,6.929869022184206,0.6715627908706665,6.929869022184206,9.983652297032428,1071,1162,1063,0,0.5018744142455482,0.47962382445141066,0.4904969086329288,4.5728607177734375
2018,XGB_regressor_safra_temp,15.947017470759526,0.39396047592163086,15.947017470759526,19.567476327465428,147,281,1087,0,0.11912479740680713,0.34345794392523366,0.1768953068592058,13.524200439453125
2019,XGB_regressor_safra_temp,13.137344997185322,0.556796133518219,13.137344997185322,16.90128961394649,442,1377,601,0,0.42377756471716205,0.24299065420560748,0.3088749126484976,9.927398681640625
2020,XGB_regressor_safra_temp,10.455980002188626,0.19140714406967163,10.455980002188626,13.39459635641169,691,1903,854,0,0.44724919093851134,0.2663839629915189,0.33389707658854795,7.774055480957031
2021,XGB_regressor_safra_temp,16.140884432778762,0.6413047313690186,16.140884432778762,18.969808164511615,63,420,203,0,0.23684210526315788,0.13043478260869565,0.16822429906542055,14.885055541992188
2022,XGB_regressor_safra_temp,5.294545440673828,0.0,5.294545440673828,6.607066313851828,16,7,27,0,0.37209302325581395,0.6956521739130435,0.48484848484848486,4.001293182373047
2004,XGB_classificador,5.7272727272727275,0.7247961521148681,0.17525636376099574,0.2622889554636921,227,111,281,2426,0.4468503937007874,0.6715976331360947,0.5366430260047281,0.17525636376099574
2005,XGB_classificador,7.809523809523809,0.7315859436988831,0.17269785135342203,0.259033481968191,438,334,536,4855,0.44969199178644764,0.5673575129533679,0.5017182130584192,0.17269785135342203
2006,XGB_classificador,6.333333333333333,0.7290416836738587,0.17348110242149312,0.26025958644294644,1515,1162,1138,13629,0.5710516396532228,0.5659320134478895,0.5684803001876173,0.17348110242149312
2007,XGB_classificador,9.514898688915375,0.7289934515953064,0.1732971497194519,0.26028543612968996,3159,3302,980,24519,0.7632278328098574,0.48893360160965793,0.5960377358490566,0.1732971497194519
2008,XGB_classificador,7.238910505836576,0.7185860276222229,0.18048109184650082,0.2652284164637453,4741,4135,1559,39352,0.7525396825396825,0.5341369986480397,0.6248023194517659,0.18048109184650082
2009,XGB_classificador,7.662983425414365,0.7278055787086487,0.17376522343135645,0.2608524903804586,648,640,412,5304,0.6113207547169811,0.5031055900621118,0.5519591141396933,0.17376522343135645
2010,XGB_classificador,13.365079365079366,0.7313048243522644,0.17308158757241335,0.2591760570263674,954,1999,206,5839,0.8224137931034483,0.32306129359972907,0.46389496717724293,0.17308158757241335
2011,XGB_classificador,4.583333333333333,0.7226814866065979,0.17752658989741038,0.2632922043917512,38,19,42,441,0.475,0.6666666666666666,0.5547445255474452,0.17752658989741038
2012,XGB_classificador,12.285714285714286,0.7265071511268616,0.1753049850532685,0.26147401872580894,397,708,51,2272,0.8861607142857143,0.3592760180995475,0.5112685125563425,0.1753049850532685
2013,XGB_classificador,7.208955223880597,0.7256366968154907,0.1758398551829629,0.26187346178536614,252,172,48,1853,0.84,0.5943396226415094,0.6961325966850828,0.1758398551829629
2014,XGB_classificador,6.885245901639344,0.7258317708969116,0.17593225151249484,0.2617894028899306,216,151,140,1915,0.6067415730337079,0.5885558583106267,0.5975103734439835,0.17593225151249484
2015,XGB_classificador,8.6375,0.7240703344345093,0.17609025673525824,0.2626325234523795,283,367,141,1875,0.6674528301886793,0.43538461538461537,0.5270018621973929,0.17609025673525824
2016,XGB_classificador,7.779411764705882,0.7253365039825439,0.17668463465899487,0.2620316640228312,252,238,120,2018,0.6774193548387096,0.5142857142857142,0.5846867749419954,0.17668463465899487
2017,XGB_classificador,7.03125,0.7270512580871582,0.17534494906547385,0.2612170758452465,354,343,98,2501,0.7831858407079646,0.5078909612625538,0.6161879895561359,0.17534494906547385
2018,XGB_classificador,9.6,0.7260912179946899,0.17523004240157233,0.2616396891916706,140,177,92,1106,0.603448275862069,0.4416403785488959,0.5100182149362477,0.17523004240157233
2019,XGB_classificador,11.015625,0.7244474053382873,0.1763817640398781,0.2624429508897869,242,428,42,1708,0.852112676056338,0.3611940298507463,0.5073375262054507,0.1763817640398781
2020,XGB_classificador,11.452631578947368,0.7232734680175781,0.17695348457094073,0.2630186330011136,372,547,28,2501,0.93,0.4047878128400435,0.5640636846095527,0.17695348457094073
2021,XGB_classificador,12.666666666666666,0.7270147800445557,0.1757032409661959,0.2612221542074224,48,104,24,510,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.1757032409661959
2022,XGB_classificador,,0.7231070399284363,0.17764286931411308,0.26308554973921866,0,0,8,42,0.0,0.0,0.0,0.17764286931411308
2004,XGB_classificador_temp,5.971830985915493,0.7999578356742859,0.13153000988073088,0.22362658129103977,247,90,261,2447,0.4862204724409449,0.7329376854599406,0.5846153846153846,0.13153000988073088
2005,XGB_classificador_temp,7.796875,0.8056864619255066,0.12927338841224037,0.2203983972560944,473,217,501,4972,0.4856262833675565,0.6855072463768116,0.5685096153846154,0.12927338841224037
2006,XGB_classificador_temp,6.530172413793103,0.8089793801307679,0.12817028390171833,0.21850783219969677,1632,621,1021,14170,0.6151526573690163,0.7243675099866844,0.6653077863840196,0.12817028390171833
2007,XGB_classificador_temp,11.352064220183486,0.8038020372390747,0.13154888983637408,0.22146385604197869,3305,2304,834,25517,0.798502053636144,0.5892315920841504,0.6780878128846942,0.13154888983637408
2008,XGB_classificador_temp,7.685867895545315,0.7978850603103638,0.13667124895454985,0.22476966946074506,5042,1995,1258,41492,0.8003174603174603,0.7164985078868836,0.7560920746794632,0.13667124895454985
2009,XGB_classificador_temp,7.699481865284974,0.8026826858520508,0.13078221155758935,0.22208278006598423,678,370,382,5574,0.6396226415094339,0.6469465648854962,0.6432637571157495,0.13078221155758935
2010,XGB_classificador_temp,14.217898832684824,0.8050884485244751,0.1302634809980977,0.22073837826403642,933,1310,227,6528,0.8043103448275862,0.4159607668301382,0.5483397002644725,0.1302634809980977
2011,XGB_classificador_temp,7.0,0.8003773331642151,0.13255897417281123,0.2233707877162098,40,12,40,448,0.5,0.7692307692307693,0.6060606060606061,0.13255897417281123
2012,XGB_classificador_temp,13.027027027027026,0.8011804461479187,0.13193592144409777,0.2229362062319989,410,530,38,2450,0.9151785714285714,0.43617021276595747,0.590778097982709,0.13193592144409777
2013,XGB_classificador_temp,9.075757575757576,0.7982595205307007,0.1328652764435336,0.22455404088982056,253,143,47,1882,0.8433333333333334,0.6388888888888888,0.7270114942528737,0.1328652764435336
2014,XGB_classificador_temp,7.338709677419355,0.7985705971717835,0.1333327894213788,0.2243798332134626,228,115,128,1951,0.6404494382022472,0.6647230320699709,0.6523605150214592,0.1333327894213788
2015,XGB_classificador_temp,8.234567901234568,0.7980639457702636,0.13314254445955673,0.2246687479711206,292,227,132,2015,0.6886792452830188,0.5626204238921002,0.6193001060445388,0.13314254445955673
2016,XGB_classificador_temp,8.068493150684931,0.8024925470352173,0.13173566838429146,0.22218881781371375,271,138,101,2118,0.728494623655914,0.6625916870415648,0.6939820742637643,0.13173566838429146
2017,XGB_classificador_temp,8.628865979381443,0.7989826798439026,0.13230460218484552,0.2241703786135953,356,193,96,2651,0.7876106194690266,0.6484517304189436,0.7112887112887112,0.13230460218484552
2018,XGB_classificador_temp,9.904761904761905,0.8018486142158509,0.13156118110486523,0.22252363297030137,154,135,78,1148,0.6637931034482759,0.532871972318339,0.5911708253358924,0.13156118110486523
2019,XGB_classificador_temp,12.36923076923077,0.8002213358879089,0.13260878193496048,0.22345435933712537,254,245,30,1891,0.8943661971830986,0.5090180360721442,0.648786717752235,0.13260878193496048
2020,XGB_classificador_temp,12.690721649484535,0.7989725828170776,0.13283854535603695,0.2241752448861154,377,328,23,2720,0.9425,0.5347517730496454,0.6823529411764705,0.13283854535603695
2021,XGB_classificador_temp,14.117647058823529,0.798226261138916,0.13338994180696756,0.2245572798829393,65,71,7,543,0.9027777777777778,0.47794117647058826,0.625,0.13338994180696756
2022,XGB_classificador_temp,9.0,0.7974802613258362,0.13319939534028774,0.22500293332913,6,3,2,39,0.75,0.6666666666666666,0.7058823529411765,0.13319939534028774
2004,XGB_regressor_safra,14.040002248479032,-0.3736753463745117,14.040002248479032,17.485551455914283,398,1103,1544,0,0.20494335736354274,0.26515656229180545,0.23119372640139413,12.447723388671875
2005,XGB_regressor_safra,17.585045473617757,0.1777222752571106,17.585045473617757,24.615156764289786,880,2427,2856,0,0.23554603854389722,0.2661022074387663,0.24989351128780357,11.9608154296875
2006,XGB_regressor_safra,16.495700591257258,-2.2525107860565186,16.495700591257258,21.352368459461765,2345,5224,9875,0,0.19189852700490997,0.30981635618972125,0.23700035373187125,13.383602142333984
2007,XGB_regressor_safra,23.07987628621661,-1.0317041873931885,23.07987628621661,27.558772810260336,2817,24756,4387,0,0.3910327595780122,0.10216516157110217,0.16200362308422234,22.40887451171875
2008,XGB_regressor_safra,40.771825178783345,-4.960661888122559,40.771825178783345,45.477655786267086,1164,46541,2082,0,0.3585951940850277,0.024399958075673408,0.04569095797923495,41.97743225097656
2009,XGB_regressor_safra,21.836060917765533,-1.0729470252990723,21.836060917765533,31.199532432980273,830,891,5283,0,0.1357762146245706,0.4822777454968042,0.2118968598417156,16.6776123046875
2010,XGB_regressor_safra,18.998305702082288,-0.5298677682876587,18.998305702082288,23.474944247300257,884,4131,3983,0,0.181631395109924,0.17627118644067796,0.1789111515887472,16.905967712402344
2011,XGB_regressor_safra,35.93803093521683,-0.34078919887542725,35.93803093521683,39.57699055196223,18,224,298,0,0.056962025316455694,0.0743801652892562,0.06451612903225806,35.63334655761719
2012,XGB_regressor_safra,15.271503070132457,-0.34458231925964355,15.271503070132457,20.250632907968093,464,1257,1707,0,0.21372639336711194,0.2696106914584544,0.23843782117163412,12.43023681640625
2013,XGB_regressor_safra,23.082408276629703,-0.42804110050201416,23.082408276629703,29.94665739354546,242,1620,463,0,0.3432624113475177,0.12996777658431793,0.18854694195559016,16.824111938476562
2014,XGB_regressor_safra,19.86303886709678,-1.369476556777954,19.86303886709678,25.1496546281821,204,419,1799,0,0.1018472291562656,0.3274478330658106,0.15536938309215537,15.579940795898438
2015,XGB_regressor_safra,39.13025575138444,-11.785341262817383,39.13025575138444,43.733120637975674,52,19,2595,0,0.019644880997355497,0.7323943661971831,0.03826342899190582,38.39064025878906
2016,XGB_regressor_safra,14.621254713386524,-0.14479506015777588,14.621254713386524,18.937015083351344,371,966,1291,0,0.22322503008423586,0.2774869109947644,0.2474158052684228,11.606254577636719
2017,XGB_regressor_safra,14.798434565368208,-0.02930617332458496,14.798434565368208,17.674028417358738,294,1876,1126,0,0.20704225352112676,0.13548387096774195,0.1637883008356546,13.635013580322266
2018,XGB_regressor_safra,51.129382631408895,-3.979370594024658,51.129382631408895,56.088206394073296,19,18,1478,0,0.012692050768203072,0.5135135135135135,0.02477183833116036,52.96240234375
2019,XGB_regressor_safra,16.85067084131162,0.32758843898773193,16.85067084131162,20.8178387257618,253,1330,837,0,0.23211009174311928,0.15982312065698043,0.18930041152263374,14.461585998535156
2020,XGB_regressor_safra,15.855408675156172,-0.6868729591369629,15.855408675156172,19.34665332459512,420,1507,1521,0,0.21638330757341576,0.21795537104307214,0.21716649431230609,14.361595153808594
2021,XGB_regressor_safra,27.477454738783766,0.10656404495239258,27.477454738783766,29.938623811763584,34,412,240,0,0.12408759124087591,0.07623318385650224,0.09444444444444444,29.42371368408203
2022,XGB_regressor_safra,41.79015869140625,0.0,41.79015869140625,42.04647546785059,0,0,50,0,0.0,0.0,0.0,42.32575225830078
2004,RF_regressor_safra,15.28006049503518,-0.641746458635017,15.28006049503518,19.11570444973295,293,1242,1510,0,0.1625069328896284,0.19087947882736156,0.17555422408627921,12.474999999999994
2005,RF_regressor_safra,18.599917957791202,0.07780435719342038,18.599917957791202,26.06782908524626,682,2832,2649,0,0.20474332032422696,0.19408081957882756,0.19926953981008033,12.754999999999995
2006,RF_regressor_safra,15.191239800275765,-1.8844833352012156,15.191239800275765,20.10808482559126,2614,6186,8644,0,0.23219044235210518,0.29704545454545456,0.2606441320171503,11.742999999999995
2007,RF_regressor_safra,27.12367567804143,-1.8381072054185763,27.12367567804143,32.57197170592364,2298,25441,4221,0,0.35250805338242064,0.0828436497350301,0.13415844474283378,26.39500000000001
2008,RF_regressor_safra,43.944914873823684,-5.816404451724975,43.944914873823684,48.632711290761605,786,47275,1726,0,0.31289808917197454,0.01635421651651027,0.031083779882546028,45.05000000000001
2009,RF_regressor_safra,20.353072247464436,-0.9418299624000035,20.353072247464436,30.196706658311722,823,2096,4085,0,0.16768541157294214,0.28194587187392944,0.21029768749201483,13.954999999999998
2010,RF_regressor_safra,19.607625746700315,-0.7243804160310969,19.607625746700315,24.922647571401946,1056,4632,3310,0,0.2418689876316995,0.18565400843881857,0.2100656455142232,16.615499999999983
2011,RF_regressor_safra,36.25840313051146,-0.4320222552981121,36.25840313051146,40.90132917691626,11,241,288,0,0.03678929765886288,0.04365079365079365,0.039927404718693285,34.488
2012,RF_regressor_safra,16.242566022797675,-0.5154779207156546,16.242566022797675,21.499072168792253,423,1417,1588,0,0.2103431128791646,0.2298913043478261,0.21968319916904702,13.35875
2013,RF_regressor_safra,28.552570444927728,-1.145176096879983,28.552570444927728,36.70366794698245,158,1722,445,0,0.2620232172470978,0.08404255319148936,0.12726540475231576,22.424999999999997
2014,RF_regressor_safra,16.276029564464103,-0.8105190884254023,16.276029564464103,21.984032906251127,371,644,1407,0,0.20866141732283464,0.36551724137931035,0.2656641604010025,11.84833333333333
2015,RF_regressor_safra,34.17798468953605,-8.850969903516388,34.17798468953605,38.38785136309882,45,100,2521,0,0.017537022603273576,0.3103448275862069,0.033198081888601995,33.50749999999999
2016,RF_regressor_safra,14.569482845342788,-0.08830806365015942,14.569482845342788,18.463905598790692,316,1049,1263,0,0.20012666244458518,0.2315018315018315,0.21467391304347827,12.325833333333335
2017,RF_regressor_safra,18.31044061112865,-0.8372011044722867,18.31044061112865,23.61248108552845,447,1214,1635,0,0.21469740634005763,0.2691149909692956,0.238845845578413,13.853749999999991
2018,RF_regressor_safra,47.99109496906381,-3.718661831028446,47.99109496906381,54.60014310641119,51,51,1413,0,0.03483606557377049,0.5,0.06513409961685823,49.988
2019,RF_regressor_safra,18.7652730147726,0.21372079660399979,18.7652730147726,22.51160416370149,243,1536,641,0,0.2748868778280543,0.13659359190556492,0.1825009387908374,17.74000000000001
2020,RF_regressor_safra,17.37510832583952,-1.0609233803088634,17.37510832583952,21.384328147262107,320,1833,1295,0,0.19814241486068113,0.14862981885740828,0.16985138004246286,15.884999999999991
2021,RF_regressor_safra,30.32623421954529,-0.2192357100717559,30.32623421954529,34.97389202744302,58,455,173,0,0.2510822510822511,0.11306042884990253,0.15591397849462366,30.53224999999999
2022,RF_regressor_safra,45.803133333333335,0.0,45.803133333333335,47.885888123050755,0,0,50,0,0.0,0.0,0.0,50.25999999999999
2004,XGBoost_regressao_talhao,12.522835991770176,-0.19823384284973145,12.522835991770176,15.867519202076677,552,897,1596,0,0.2569832402234637,0.38095238095238093,0.30692243536280234,9.900962829589844
2005,XGBoost_regressao_talhao,12.075341190781934,-0.37588369846343994,12.075341190781934,15.299871242675419,1198,1627,3338,0,0.2641093474426808,0.424070796460177,0.32549925281891046,10.125473022460938
2006,XGBoost_regressao_talhao,10.97479181348717,0.04997050762176514,10.97479181348717,14.48512714546008,3756,5875,7813,0,0.3246607312645864,0.3899906551759942,0.3543396226415094,7.858367919921875
2007,XGBoost_regressao_talhao,10.102875477858866,0.05771547555923462,10.102875477858866,13.86301628090302,7782,11989,12189,0,0.3896650142706925,0.3936067978352132,0.39162598762014994,6.6690216064453125
2008,XGBoost_regressao_talhao,11.223613171027033,0.0013116002082824707,11.223613171027033,15.413971984066741,11257,24649,13881,0,0.4478080992919087,0.31351306188380773,0.36881593604613067,7.7028656005859375
2009,XGBoost_regressao_talhao,11.099118338932929,-0.013919591903686523,11.099118338932929,14.571086671570423,1447,2993,2564,0,0.3607579157317377,0.3259009009009009,0.34244468110282805,8.275165557861328
